Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1,TADEJ POGACAR,1,UAE TEAM EMIRATES XRG,76h 00' 32'',-,52',,2025,3323,21,time,273632,0
2,JONAS VINGEGAARD HANSEN,11,TEAM VISMA | LEASE A BIKE,76h 04' 56'',+ 00h 04' 24'',34',,2025,3323,21,time,273896,264
3,FLORIAN LIPOWITZ,72,RED BULL - BORA - HANSGROHE,76h 11' 32'',+ 00h 11' 00'',04',,2025,3323,21,time,274292,660
4,EDGAR OSCAR ONLEY,191,TEAM PICNIC POSTNL,76h 12' 44'',+ 00h 12' 12'',04',,2025,3323,21,time,274364,732
5,FELIX GALL,151,DECATHLON AG2R LA MONDIALE TEAM,76h 17' 44'',+ 00h 17' 12'',,,2025,3323,21,time,274664,1032
6,TOBIAS HALLAND JOHANNESSEN,221,UNO-X MOBILITY,76h 20' 46'',+ 00h 20' 14'',,,2025,3323,21,time,274846,1214
7,KÉVIN VAUQUELIN,131,ARKEA-B&B HOTELS,76h 23' 07'',+ 00h 22' 35'',,,2025,3323,21,time,274987,1355
8,PRIMOZ ROGLIC,71,RED BULL - BORA - HANSGROHE,76h 26' 02'',+ 00h 25' 30'',,,2025,3323,21,time,275162,1530
9,BEN HEALY,31,EF EDUCATION - EASYPOST,76h 28' 34'',+ 00h 28' 02'',20',,2025,3323,21,time,275314,1682
10,JORDAN JEGAT,186,TOTALENERGIES,76h 33' 14'',+ 00h 32' 42'',,00' 10'',2025,3323,21,time,275594,1962
11,BEN ALEXANDER O'CONNOR,121,TEAM JAYCO ALULA,76h 35' 06'',+ 00h 34' 34'',10',,2025,3323,21,time,275706,2074
12,THYMEN ARENSMAN,62,INEOS GRENADIERS,76h 53' 13'',+ 00h 52' 41'',26',,2025,3323,21,time,276793,3161
13,JHONATAN MANUEL NARVAEZ PRADO,3,UAE TEAM EMIRATES XRG,77h 05' 08'',+ 01h 04' 36'',,,2025,3323,21,time,277508,3876
14,SERGIO ANDRES HIGUITA GARCIA,176,XDS ASTANA TEAM,77h 08' 51'',+ 01h 08' 19'',,,2025,3323,21,time,277731,4099
15,SIMON PHILIP YATES,18,TEAM VISMA | LEASE A BIKE,77h 18' 02'',+ 01h 17' 30'',10',,2025,3323,21,time,278282,4650
16,GUILLAUME MARTIN GUYONNET,91,GROUPAMA-FDJ,77h 18' 39'',+ 01h 18' 07'',,,2025,3323,21,time,278319,4687
17,SEPP KUSS,16,TEAM VISMA | LEASE A BIKE,77h 20' 56'',+ 01h 20' 24'',,,2025,3323,21,time,278456,4824
